,x,y
0,-5.0,-13.502618545347033
1,-4.473684210526316,-20.86807828617925
2,-3.947368421052632,-18.95479227221172
3,-3.4210526315789473,-19.555032383361524
4,-2.8947368421052633,-10.222580009017076
5,-2.368421052631579,-21.31141794541587
6,-1.8421052631578947,-3.547068732607765
7,-1.3157894736842106,-11.992196024633042
8,-0.7894736842105265,-6.092264668403185
9,-0.2631578947368425,-6.786955186120168
10,0.2631578947368416,1.6379054323904212
11,0.7894736842105257,-10.87214178535904
12,1.3157894736842106,-2.342300395001398
13,1.8421052631578947,-1.0099016291999785
14,2.3684210526315788,6.640340927236486
15,2.894736842105263,-0.7153545429403358
16,3.421052631578947,4.573445064535098
17,3.947368421052632,3.3306715914724085
18,4.473684210526315,8.589907618441316
19,5.0,12.331260854863288
